"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2018",53025.386896,
"AUS","GDP","TOT","USD_CAP","A","2019",52785.250556,
"AUS","GDP","TOT","USD_CAP","A","2020",55772.741079,
"AUS","GDP","TOT","USD_CAP","A","2021",62095.40433,
"AUS","GDP","TOT","USD_CAP","A","2022",70011.35139,"E"
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.612013,
"AUT","GDP","TOT","USD_CAP","A","2020",57258.818295,
"AUT","GDP","TOT","USD_CAP","A","2021",59991.439846,
"AUT","GDP","TOT","USD_CAP","A","2022",67768.675031,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",55804.713631,
"BEL","GDP","TOT","USD_CAP","A","2020",54544.41924,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58845.530928,"P"
"BEL","GDP","TOT","USD_CAP","A","2022",64896.334074,"P"
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.414539,
"CAN","GDP","TOT","USD_CAP","A","2020",47226.357276,
"CAN","GDP","TOT","USD_CAP","A","2021",53023.405782,
"CAN","GDP","TOT","USD_CAP","A","2022",58347.676945,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.295751,
"CZE","GDP","TOT","USD_CAP","A","2020",42817.867499,
"CZE","GDP","TOT","USD_CAP","A","2021",44813.002627,
"CZE","GDP","TOT","USD_CAP","A","2022",49122.317085,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59884.11738,
"DNK","GDP","TOT","USD_CAP","A","2020",60768.060489,
"DNK","GDP","TOT","USD_CAP","A","2021",66117.728509,
"DNK","GDP","TOT","USD_CAP","A","2022",74859.416551,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.599332,
"FIN","GDP","TOT","USD_CAP","A","2020",52294.342491,
"FIN","GDP","TOT","USD_CAP","A","2021",54772.858854,
"FIN","GDP","TOT","USD_CAP","A","2022",59462.722918,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50226.680167,
"FRA","GDP","TOT","USD_CAP","A","2020",47829.935222,
"FRA","GDP","TOT","USD_CAP","A","2021",50997.632933,"P"
"FRA","GDP","TOT","USD_CAP","A","2022",55064.32964,"P"
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57411.520685,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56454.181109,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",59055.316879,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",63521.899276,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.946796,
"GRC","GDP","TOT","USD_CAP","A","2020",28416.523031,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31297.164572,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",36794.851579,"P"
"HUN","GDP","TOT","USD_CAP","A","2018",31908.863431,
"HUN","GDP","TOT","USD_CAP","A","2019",34645.565383,
"HUN","GDP","TOT","USD_CAP","A","2020",34169.922355,
"HUN","GDP","TOT","USD_CAP","A","2021",36773.313939,"P"
"HUN","GDP","TOT","USD_CAP","A","2022",41906.794102,"P"
"ISL","GDP","TOT","USD_CAP","A","2018",57201.173335,
"ISL","GDP","TOT","USD_CAP","A","2019",59601.931544,
"ISL","GDP","TOT","USD_CAP","A","2020",54298.422112,
"ISL","GDP","TOT","USD_CAP","A","2021",58198.487788,
"ISL","GDP","TOT","USD_CAP","A","2022",69390.146757,"E"
"IRL","GDP","TOT","USD_CAP","A","2018",85034.728547,
"IRL","GDP","TOT","USD_CAP","A","2019",89759.238887,
"IRL","GDP","TOT","USD_CAP","A","2020",94646.640757,
"IRL","GDP","TOT","USD_CAP","A","2021",108831.365241,
"IRL","GDP","TOT","USD_CAP","A","2022",127146.265184,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.741922,
"ITA","GDP","TOT","USD_CAP","A","2020",43144.404157,
"ITA","GDP","TOT","USD_CAP","A","2021",46686.423758,
"ITA","GDP","TOT","USD_CAP","A","2022",51790.411578,
"JPN","GDP","TOT","USD_CAP","A","2018",42264.585123,
"JPN","GDP","TOT","USD_CAP","A","2019",42427.125075,
"JPN","GDP","TOT","USD_CAP","A","2020",41867.153393,
"JPN","GDP","TOT","USD_CAP","A","2021",42895.146536,
"JPN","GDP","TOT","USD_CAP","A","2022",45637.642724,"E"
"KOR","GDP","TOT","USD_CAP","A","2018",43044.340145,
"KOR","GDP","TOT","USD_CAP","A","2019",43410.152957,
"KOR","GDP","TOT","USD_CAP","A","2020",44694.939796,
"KOR","GDP","TOT","USD_CAP","A","2021",46875.178673,"P"
"KOR","GDP","TOT","USD_CAP","A","2022",49895.012456,"E"
"LUX","GDP","TOT","USD_CAP","A","2018",116334.724739,
"LUX","GDP","TOT","USD_CAP","A","2019",119253.372812,
"LUX","GDP","TOT","USD_CAP","A","2020",119882.982023,
"LUX","GDP","TOT","USD_CAP","A","2021",131311.164821,
"LUX","GDP","TOT","USD_CAP","A","2022",141237.045123,"P"
"MEX","GDP","TOT","USD_CAP","A","2018",20561.246895,
"MEX","GDP","TOT","USD_CAP","A","2019",20244.557477,
"MEX","GDP","TOT","USD_CAP","A","2020",18465.575374,"P"
"MEX","GDP","TOT","USD_CAP","A","2021",19438.782132,"P"
"MEX","GDP","TOT","USD_CAP","A","2022",21331.937965,"E"
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",60207.9957,
"NLD","GDP","TOT","USD_CAP","A","2020",59821.266235,
"NLD","GDP","TOT","USD_CAP","A","2021",64488.958411,"P"
"NLD","GDP","TOT","USD_CAP","A","2022",70861.366489,"P"
"NZL","GDP","TOT","USD_CAP","A","2018",42320.906448,
"NZL","GDP","TOT","USD_CAP","A","2019",45518.307468,
"NZL","GDP","TOT","USD_CAP","A","2020",45457.178769,
"NZL","GDP","TOT","USD_CAP","A","2021",47981.692244,
"NZL","GDP","TOT","USD_CAP","A","2022",51455.076251,"E"
"NOR","GDP","TOT","USD_CAP","A","2018",70252.735449,
"NOR","GDP","TOT","USD_CAP","A","2019",69915.01766,
"NOR","GDP","TOT","USD_CAP","A","2020",65135.920669,
"NOR","GDP","TOT","USD_CAP","A","2021",81871.642989,
"NOR","GDP","TOT","USD_CAP","A","2022",114932.192428,
"POL","GDP","TOT","USD_CAP","A","2018",31662.210541,
"POL","GDP","TOT","USD_CAP","A","2019",34592.873746,
"POL","GDP","TOT","USD_CAP","A","2020",34896.8226,
"POL","GDP","TOT","USD_CAP","A","2021",37825.969449,
"POL","GDP","TOT","USD_CAP","A","2022",43113.432061,"B"
"PRT","GDP","TOT","USD_CAP","A","2018",34928.61899,
"PRT","GDP","TOT","USD_CAP","A","2019",37299.182306,
"PRT","GDP","TOT","USD_CAP","A","2020",34955.61156,
"PRT","GDP","TOT","USD_CAP","A","2021",36770.297858,"P"
"PRT","GDP","TOT","USD_CAP","A","2022",41872.681891,"P"
"SVK","GDP","TOT","USD_CAP","A","2018",31374.187996,
"SVK","GDP","TOT","USD_CAP","A","2019",33458.809067,
"SVK","GDP","TOT","USD_CAP","A","2020",32911.918804,
"SVK","GDP","TOT","USD_CAP","A","2021",34570.426321,
"SVK","GDP","TOT","USD_CAP","A","2022",36990.850406,
"ESP","GDP","TOT","USD_CAP","A","2018",40776.768298,
"ESP","GDP","TOT","USD_CAP","A","2019",43135.741954,
"ESP","GDP","TOT","USD_CAP","A","2020",37996.030376,"P"
"ESP","GDP","TOT","USD_CAP","A","2021",40734.338665,"P"
"ESP","GDP","TOT","USD_CAP","A","2022",45825.187571,"P"
"SWE","GDP","TOT","USD_CAP","A","2018",53521.635778,
"SWE","GDP","TOT","USD_CAP","A","2019",56404.297122,
"SWE","GDP","TOT","USD_CAP","A","2020",56140.551353,
"SWE","GDP","TOT","USD_CAP","A","2021",60396.719301,
"SWE","GDP","TOT","USD_CAP","A","2022",65156.950747,
"CHE","GDP","TOT","USD_CAP","A","2018",70688.84449,
"CHE","GDP","TOT","USD_CAP","A","2019",72668.72555,
"CHE","GDP","TOT","USD_CAP","A","2020",70810.837738,
"CHE","GDP","TOT","USD_CAP","A","2021",75969.787471,
"CHE","GDP","TOT","USD_CAP","A","2022",83484.940241,
"TUR","GDP","TOT","USD_CAP","A","2018",28281.473275,
"TUR","GDP","TOT","USD_CAP","A","2019",28011.322789,
"TUR","GDP","TOT","USD_CAP","A","2020",27973.899303,
"TUR","GDP","TOT","USD_CAP","A","2021",30679.506593,
"TUR","GDP","TOT","USD_CAP","A","2022",37299.591132,"E"
"GBR","GDP","TOT","USD_CAP","A","2018",47219.464771,
"GBR","GDP","TOT","USD_CAP","A","2019",49317.743237,
"GBR","GDP","TOT","USD_CAP","A","2020",45872.178273,
"GBR","GDP","TOT","USD_CAP","A","2021",49682.164148,
"GBR","GDP","TOT","USD_CAP","A","2022",53942.431815,
"USA","GDP","TOT","USD_CAP","A","2018",62449.612827,
"USA","GDP","TOT","USD_CAP","A","2019",64690.272395,
"USA","GDP","TOT","USD_CAP","A","2020",63480.861222,
"USA","GDP","TOT","USD_CAP","A","2021",70181.12175,
"USA","GDP","TOT","USD_CAP","A","2022",76359.99952,"E"
"CHL","GDP","TOT","USD_CAP","A","2018",25496.431051,
"CHL","GDP","TOT","USD_CAP","A","2019",25509.445481,
"CHL","GDP","TOT","USD_CAP","A","2020",24738.720579,
"CHL","GDP","TOT","USD_CAP","A","2021",28070.413247,
"CHL","GDP","TOT","USD_CAP","A","2022",29866.277169,
"CHN","GDP","TOT","USD_CAP","A","2018",15466.329982,
"CHN","GDP","TOT","USD_CAP","A","2019",16624.52398,
"CHN","GDP","TOT","USD_CAP","A","2020",17176.865661,
"CHN","GDP","TOT","USD_CAP","A","2021",19429.069638,
"CHN","GDP","TOT","USD_CAP","A","2022",21314.467779,
"COL","GDP","TOT","USD_CAP","A","2018",15814.696386,
"COL","GDP","TOT","USD_CAP","A","2019",16484.762795,
"COL","GDP","TOT","USD_CAP","A","2020",15614.989482,"P"
"COL","GDP","TOT","USD_CAP","A","2021",17644.507027,"P"
"COL","GDP","TOT","USD_CAP","A","2022",20841.377902,"E"
"EST","GDP","TOT","USD_CAP","A","2018",36488.637421,
"EST","GDP","TOT","USD_CAP","A","2019",39068.367072,
"EST","GDP","TOT","USD_CAP","A","2020",39460.614767,
"EST","GDP","TOT","USD_CAP","A","2021",43505.074864,
"EST","GDP","TOT","USD_CAP","A","2022",47152.179753,
"IND","GDP","TOT","USD_CAP","A","2018",6798.503231,
"IND","GDP","TOT","USD_CAP","A","2019",7103.830936,
"IND","GDP","TOT","USD_CAP","A","2020",6643.799897,
"IDN","GDP","TOT","USD_CAP","A","2018",11798.060552,
"IDN","GDP","TOT","USD_CAP","A","2019",12481.910741,
"IDN","GDP","TOT","USD_CAP","A","2020",12224.985526,
"IDN","GDP","TOT","USD_CAP","A","2021",13083.000494,
"IDN","GDP","TOT","USD_CAP","A","2022",14395.433172,
"ISR","GDP","TOT","USD_CAP","A","2018",40247.088382,
"ISR","GDP","TOT","USD_CAP","A","2019",40950.350286,
"ISR","GDP","TOT","USD_CAP","A","2020",40222.667061,
"ISR","GDP","TOT","USD_CAP","A","2021",44052.106772,
"ISR","GDP","TOT","USD_CAP","A","2022",49507.060337,"E"
"RUS","GDP","TOT","USD_CAP","A","2018",28821.242897,
"RUS","GDP","TOT","USD_CAP","A","2019",29967.119348,
"RUS","GDP","TOT","USD_CAP","A","2020",29819.046969,"E"
"SVN","GDP","TOT","USD_CAP","A","2018",39008.297051,
"SVN","GDP","TOT","USD_CAP","A","2019",42118.699287,
"SVN","GDP","TOT","USD_CAP","A","2020",40885.50612,
"SVN","GDP","TOT","USD_CAP","A","2021",44041.052941,
"SVN","GDP","TOT","USD_CAP","A","2022",48361.944853,
"ZAF","GDP","TOT","USD_CAP","A","2018",14545.431392,
"ZAF","GDP","TOT","USD_CAP","A","2019",14654.557239,
"ZAF","GDP","TOT","USD_CAP","A","2020",13716.632593,
"ZAF","GDP","TOT","USD_CAP","A","2021",14812.842929,
"ZAF","GDP","TOT","USD_CAP","A","2022",15953.4746,
"OECD","GDP","TOT","USD_CAP","A","2018",45197.269954,
"OECD","GDP","TOT","USD_CAP","A","2019",46667.780637,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45371.011275,"P"
"OECD","GDP","TOT","USD_CAP","A","2021",49090.601033,"E"
"OECD","GDP","TOT","USD_CAP","A","2022",53964.12638,"E"
"OECDE","GDP","TOT","USD_CAP","A","2018",44174.059213,
"OECDE","GDP","TOT","USD_CAP","A","2019",46350.372782,"P"
"OECDE","GDP","TOT","USD_CAP","A","2020",44623.303969,"P"
"OECDE","GDP","TOT","USD_CAP","A","2021",47990.077808,"P"
"OECDE","GDP","TOT","USD_CAP","A","2022",53541.641785,"E"
"LVA","GDP","TOT","USD_CAP","A","2018",30891.884185,
"LVA","GDP","TOT","USD_CAP","A","2019",32938.736912,
"LVA","GDP","TOT","USD_CAP","A","2020",33011.406797,
"LVA","GDP","TOT","USD_CAP","A","2021",35045.921582,
"LVA","GDP","TOT","USD_CAP","A","2022",39895.880027,
"BRA","GDP","TOT","USD_CAP","A","2018",15088.873591,
"BRA","GDP","TOT","USD_CAP","A","2019",15424.038754,
"BRA","GDP","TOT","USD_CAP","A","2020",15173.607426,
"LTU","GDP","TOT","USD_CAP","A","2018",36376.535744,
"LTU","GDP","TOT","USD_CAP","A","2019",39957.593145,
"LTU","GDP","TOT","USD_CAP","A","2020",40176.485935,
"LTU","GDP","TOT","USD_CAP","A","2021",43679.165382,
"LTU","GDP","TOT","USD_CAP","A","2022",48396.739952,
"SAU","GDP","TOT","USD_CAP","A","2018",49189.778812,
"SAU","GDP","TOT","USD_CAP","A","2019",49055.641241,
"SAU","GDP","TOT","USD_CAP","A","2020",46378.343249,
"EA19","GDP","TOT","USD_CAP","A","2018",47632.859736,
"EA19","GDP","TOT","USD_CAP","A","2019",50334.057651,
"EA19","GDP","TOT","USD_CAP","A","2020",48286.145759,
"EA19","GDP","TOT","USD_CAP","A","2021",51447.147206,
"EA19","GDP","TOT","USD_CAP","A","2022",56580.408232,
"ARG","GDP","TOT","USD_CAP","A","2018",23290.675736,
"ARG","GDP","TOT","USD_CAP","A","2019",23003.277177,
"ARG","GDP","TOT","USD_CAP","A","2020",20763.271623,
"ARG","GDP","TOT","USD_CAP","A","2021",23649.642932,
"CRI","GDP","TOT","USD_CAP","A","2018",21312.71338,
"CRI","GDP","TOT","USD_CAP","A","2019",22739.241909,
"CRI","GDP","TOT","USD_CAP","A","2020",21755.528069,
"CRI","GDP","TOT","USD_CAP","A","2021",22612.375289,"E"
"CRI","GDP","TOT","USD_CAP","A","2022",24776.739003,"E"
"BGR","GDP","TOT","USD_CAP","A","2018",23015.938513,
"BGR","GDP","TOT","USD_CAP","A","2019",25170.075668,
"BGR","GDP","TOT","USD_CAP","A","2020",25293.675309,
"BGR","GDP","TOT","USD_CAP","A","2021",28105.865013,
"BGR","GDP","TOT","USD_CAP","A","2022",31837.006033,"P"
"HRV","GDP","TOT","USD_CAP","A","2018",28887.862246,
"HRV","GDP","TOT","USD_CAP","A","2019",31572.729293,
"HRV","GDP","TOT","USD_CAP","A","2020",29705.535711,
"HRV","GDP","TOT","USD_CAP","A","2021",34044.071906,"P"
"HRV","GDP","TOT","USD_CAP","A","2022",39558.839514,"E"
"CYP","GDP","TOT","USD_CAP","A","2018",40676.395546,
"CYP","GDP","TOT","USD_CAP","A","2019",44038.86115,
"CYP","GDP","TOT","USD_CAP","A","2020",41421.822429,
"CYP","GDP","TOT","USD_CAP","A","2021",44393.9811,"P"
"CYP","GDP","TOT","USD_CAP","A","2022",49741.815984,"P"
"MLT","GDP","TOT","USD_CAP","A","2018",45582.873183,
"MLT","GDP","TOT","USD_CAP","A","2019",49155.630788,
"MLT","GDP","TOT","USD_CAP","A","2020",44900.735579,
"MLT","GDP","TOT","USD_CAP","A","2021",49980.098186,
"MLT","GDP","TOT","USD_CAP","A","2022",55332.553581,
"ROU","GDP","TOT","USD_CAP","A","2018",29553.041501,
"ROU","GDP","TOT","USD_CAP","A","2019",33028.052566,
"ROU","GDP","TOT","USD_CAP","A","2020",33325.494217,
"ROU","GDP","TOT","USD_CAP","A","2021",36255.862609,"P"
"ROU","GDP","TOT","USD_CAP","A","2022",41619.991368,"P"
"MKD","GDP","TOT","USD_CAP","A","2018",16796.298138,"E"
"MKD","GDP","TOT","USD_CAP","A","2019",18007.14396,"E"
"MKD","GDP","TOT","USD_CAP","A","2020",17323.102057,"E"
"ZMB","GDP","TOT","USD_CAP","A","2018",3507.79523,
"ZMB","GDP","TOT","USD_CAP","A","2019",3514.688008,
"ZMB","GDP","TOT","USD_CAP","A","2020",3358.004891,
"HKG","GDP","TOT","USD_CAP","A","2018",62510.60171,"E"
"HKG","GDP","TOT","USD_CAP","A","2019",62102.600449,"E"
"HKG","GDP","TOT","USD_CAP","A","2020",58949.465954,"E"
"HKG","GDP","TOT","USD_CAP","A","2021",65892.583581,"E"
"MDG","GDP","TOT","USD_CAP","A","2018",1643.791121,"E"
"MDG","GDP","TOT","USD_CAP","A","2019",1702.648643,"E"
"MDG","GDP","TOT","USD_CAP","A","2020",1561.08077,"E"
"MAR","GDP","TOT","USD_CAP","A","2018",8543.309967,"E"
"MAR","GDP","TOT","USD_CAP","A","2019",8807.802665,"E"
"MAR","GDP","TOT","USD_CAP","A","2020",8051.435771,"E"
"MAR","GDP","TOT","USD_CAP","A","2021",9073.558801,"E"
"SGP","GDP","TOT","USD_CAP","A","2018",100408.958643,
"SGP","GDP","TOT","USD_CAP","A","2019",102127.214909,
"SGP","GDP","TOT","USD_CAP","A","2020",98148.67364,
"EU27_2020","GDP","TOT","USD_CAP","A","2018",44676.313726,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",47448.163653,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",45880.663098,
"EU27_2020","GDP","TOT","USD_CAP","A","2021",49057.401116,
"EU27_2020","GDP","TOT","USD_CAP","A","2022",54237.334795,
"ALB","GDP","TOT","USD_CAP","A","2018",13498.122566,
"ALB","GDP","TOT","USD_CAP","A","2019",14407.379403,
"ALB","GDP","TOT","USD_CAP","A","2020",14033.967211,"P"
"SRB","GDP","TOT","USD_CAP","A","2018",17717.89125,
"SRB","GDP","TOT","USD_CAP","A","2019",19404.882561,
"SRB","GDP","TOT","USD_CAP","A","2020",19547.72567,
"SRB","GDP","TOT","USD_CAP","A","2021",21588.39529,"P"
"GEO","GDP","TOT","USD_CAP","A","2018",14593.90772,
"GEO","GDP","TOT","USD_CAP","A","2019",15621.873636,
"GEO","GDP","TOT","USD_CAP","A","2020",14731.202573,
"CMR","GDP","TOT","USD_CAP","A","2018",3800.566288,
"CMR","GDP","TOT","USD_CAP","A","2019",3900.880855,
"CMR","GDP","TOT","USD_CAP","A","2020",3861.20989,
"SEN","GDP","TOT","USD_CAP","A","2018",3416.171427,
"SEN","GDP","TOT","USD_CAP","A","2019",3530.096494,
"SEN","GDP","TOT","USD_CAP","A","2020",3513.149951,
